seq_id,print_id,tile_id,P1,dP1,P2,dP2,P3,dP3,P4,dP4,P5,dP5
56,SI266220200309225433,8,(498;314),6345.91,(498;355),6165.39,(498;315),6078.03,(),,(),
57,SI266220200309225433,9,(81;498),15744.60,(169;498),15024.99,(140;498),14759.47,(82;498),14714.40,(168;498),14453.42
58,SI266220200309225433,10,(104;1),16192.21,(105;1),15986.67,(103;1),15436.38,(106;1),15260.17,(104;2),15134.60
59,SI266220200309225433,11,(),,(),,(),,(),,(),
60,SI266220200309225433,12,(1;314),6071.60,(1;315),6045.89,(),,(),,(),
61,SI266220200309225433,13,(41;456),9364.78,(42;456),9193.30,(42;457),8736.24,(41;455),8295.68,(40;455),8199.20
62,SI266220200309225433,14,(1;1),7330.35,(1;2),6024.99,(),,(),,(),
63,SI266220200309225433,15,(),,(),,(),,(),,(),
64,SI266220200309225433,0,(),,(),,(),,(),,(),
65,SI266220200309225433,1,(),,(),,(),,(),,(),
66,SI266220200309225433,2,(498;162),6210.10,(498;161),6035.22,(),,(),,(),
67,SI266220200309225433,3,(498;94),11699.77,(498;93),11444.15,(498;95),10079.36,(499;94),9275.29,(499;93),8865.74
68,SI266220200309225433,4,(),,(),,(),,(),,(),
69,SI266220200309225433,5,(),,(),,(),,(),,(),
70,SI266220200309225433,6,(1;162),7598.10,(1;161),7441.32,(1;167),7085.76,(351;464),6874.98,(351;465),6710.86
71,SI266220200309225433,7,(1;93),11302.23,(1;94),11248.69,(440;93),10403.16,(440;94),9852.03,(439;93),9835.97
72,SI266220200309225433,8,(498;314),7040.39,(498;313),6963.61,(498;315),6283.22,(498;355),6205.66,(),
73,SI266220200309225433,9,(251;498),9552.83,(250;498),9424.28,(252;498),8618.87,(251;499),7638.53,(498;498),7635.18
74,SI266220200309225433,10,(250;1),9826.73,(251;1),9593.88,(498;1),8526.83,(252;1),8460.81,(104;1),8024.45
75,SI266220200309225433,11,(),,(),,(),,(),,(),
76,SI266220200309225433,12,(1;314),6529.21,(1;313),6316.08,(151;383),6295.44,(151;384),6180.22,(151;382),6014.97
77,SI266220200309225433,13,(1;498),8034.66,(2;498),6441.28,(1;497),6239.07,(1;499),6207.97,(0;498),6045.04
78,SI266220200309225433,14,(1;1),8132.99,(2;1),6846.35,(1;2),6629.66,(29;1),6400.73,(30;1),6208.01
79,SI266220200309225433,15,(),,(),,(),,(),,(),
80,SI266220200309225433,0,(),,(),,(),,(),,(),
81,SI266220200309225433,1,(),,(),,(),,(),,(),
82,SI266220200309225433,2,(468;169),6744.62,(467;169),6617.28,(468;170),6566.85,(470;168),6566.10,(469;168),6517.98
83,SI266220200309225433,3,(498;184),13444.37,(498;183),12808.09,(498;185),11698.61,(498;182),11240.11,(364;164),10713.57
84,SI266220200309225433,4,(),,(),,(),,(),,(),
85,SI266220200309225433,5,(361;466),7714.08,(360;465),7587.35,(361;465),7559.55,(360;466),7501.23,(362;466),7454.93
86,SI266220200309225433,6,(352;379),7379.53,(351;379),7316.24,(353;379),7121.60,(352;380),7069.39,(351;380),6969.53
87,SI266220200309225433,7,(1;183),11882.10,(1;184),11674.34,(1;182),11565.83,(1;181),10904.79,(41;183),10688.83
88,SI266220200309225433,8,(498;314),6890.11,(498;315),6495.87,(498;313),6328.30,(),,(),
89,SI266220200309225433,9,(76;474),7367.68,(75;474),7153.69,(76;492),7107.90,(256;446),7015.99,(76;473),6968.24
90,SI266220200309225433,10,(341;35),7431.62,(341;36),7397.44,(340;36),7211.28,(340;35),6896.96,(124;8),6793.78
91,SI266220200309225433,11,(),,(),,(),,(),,(),
92,SI266220200309225433,12,(1;314),6587.50,(1;313),6154.34,(1;315),6098.20,(),,(),
93,SI266220200309225433,13,(1;498),6306.68,(),,(),,(),,(),
94,SI266220200309225433,14,(1;1),6652.84,(),,(),,(),,(),
95,SI266220200309225433,15,(),,(),,(),,(),,(),
96,SI266220200309225433,0,(),,(),,(),,(),,(),
97,SI266220200309225433,1,(),,(),,(),,(),,(),
98,SI266220200309225433,2,(339;178),7880.06,(340;178),7667.67,(379;188),7659.88,(338;178),7633.39,(378;188),7538.06
99,SI266220200309225433,3,(498;183),16208.94,(498;182),16096.90,(498;184),15331.74,(498;135),14034.47,(498;139),13796.01
100,SI266220200309225433,4,(),,(),,(),,(),,(),
101,SI266220200309225433,5,(),,(),,(),,(),,(),
102,SI266220200309225433,6,(274;378),8383.95,(274;379),8172.41,(275;378),8105.88,(273;378),8098.65,(275;379),7936.79
103,SI266220200309225433,7,(1;183),16464.86,(1;184),15793.17,(1;94),15256.66,(1;146),14735.50,(1;136),14268.62
104,SI266220200309225433,8,(),,(),,(),,(),,(),
105,SI266220200309225433,9,(163;447),9560.18,(163;446),9429.09,(162;447),9312.28,(164;447),9221.40,(162;446),9033.67
106,SI266220200309225433,10,(103;1),7635.73,(104;1),7570.20,(158;1),7257.51,(167;1),7239.88,(157;1),7232.23
107,SI266220200309225433,11,(),,(),,(),,(),,(),
108,SI266220200309225433,12,(239;298),7439.42,(240;298),7303.58,(238;298),7152.25,(239;297),6966.50,(238;297),6936.17
109,SI266220200309225433,13,(),,(),,(),,(),,(),
110,SI266220200309225433,14,(),,(),,(),,(),,(),
111,SI266220200309225433,15,(),,(),,(),,(),,(),
112,SI266220200309225433,0,(),,(),,(),,(),,(),
113,SI266220200309225433,1,(),,(),,(),,(),,(),
114,SI266220200309225433,2,(498;250),8132.70,(498;249),8066.43,(498;248),7899.44,(498;245),7802.74,(498;251),7772.09
115,SI266220200309225433,3,(498;94),10670.99,(498;95),10035.61,(451;183),9385.61,(450;183),9013.49,(450;182),9010.56
116,SI266220200309225433,4,(),,(),,(),,(),,(),
117,SI266220200309225433,5,(),,(),,(),,(),,(),
118,SI266220200309225433,6,(1;250),7831.97,(1;249),7782.61,(1;163),7768.20,(1;164),7558.68,(1;166),7432.17
119,SI266220200309225433,7,(1;94),9440.58,(1;183),9413.85,(1;95),9376.61,(1;184),8809.45,(1;182),8701.45
120,SI266220200309225433,8,(498;314),6823.40,(498;315),6582.51,(498;355),6329.27,(498;354),6303.87,(498;353),6106.65
121,SI266220200309225433,9,(108;498),6966.56,(107;498),6876.91,(109;498),6860.65,(116;498),6725.11,(117;498),6647.68
122,SI266220200309225433,10,(109;1),6958.95,(110;1),6941.05,(108;1),6903.10,(104;1),6856.31,(107;1),6756.96
123,SI266220200309225433,11,(),,(),,(),,(),,(),
124,SI266220200309225433,12,(),,(),,(),,(),,(),
125,SI266220200309225433,13,(1;498),6090.08,(),,(),,(),,(),
126,SI266220200309225433,14,(1;1),6065.67,(),,(),,(),,(),
127,SI266220200309225433,15,(),,(),,(),,(),,(),
128,SI266220200309225433,0,(),,(),,(),,(),,(),
129,SI266220200309225433,1,(),,(),,(),,(),,(),
130,SI266220200309225433,2,(498;251),12542.57,(498;250),11929.37,(498;252),11775.38,(451;163),11528.83,(452;163),11518.29
131,SI266220200309225433,3,(498;94),14015.59,(498;184),13762.07,(498;93),11285.59,(499;94),11001.12,(498;113),10814.80
132,SI266220200309225433,4,(435;385),6809.66,(436;385),6741.80,(434;385),6683.39,(436;384),6616.59,(435;384),6564.92
133,SI266220200309225433,5,(),,(),,(),,(),,(),
134,SI266220200309225433,6,(1;250),12190.41,(1;251),11752.02,(1;249),11589.68,(1;191),10197.01,(1;248),10159.17
135,SI266220200309225433,7,(1;184),14088.73,(1;94),12819.04,(2;184),11213.50,(1;117),11157.96,(1;185),10943.83
136,SI266220200309225433,8,(498;354),7117.82,(498;353),7019.19,(498;355),6856.19,(498;352),6571.71,(),
137,SI266220200309225433,9,(251;447),9809.65,(252;447),9685.45,(253;447),9540.12,(253;448),9395.49,(254;447),9385.54
138,SI266220200309225433,10,(105;1),10646.99,(104;1),10489.87,(332;34),10333.49,(106;1),10191.81,(332;33),10133.36
139,SI266220200309225433,11,(),,(),,(),,(),,(),
140,SI266220200309225433,12,(237;385),7755.05,(236;385),7681.99,(236;386),7576.99,(238;385),7570.48,(237;386),7537.39
141,SI266220200309225433,13,(1;498),7677.65,(2;498),6281.99,(1;497),6155.31,(),,(),
142,SI266220200309225433,14,(1;1),8513.23,(1;2),7891.09,(2;1),7212.86,(1;3),6532.26,(0;2),6487.99
143,SI266220200309225433,15,(),,(),,(),,(),,(),
144,SI266220200309225433,0,(),,(),,(),,(),,(),
145,SI266220200309225433,1,(),,(),,(),,(),,(),
146,SI266220200309225433,2,(385;379),6547.41,(384;379),6523.49,(385;378),6413.71,(498;467),6204.04,(384;378),6199.27
147,SI266220200309225433,3,(498;94),16102.30,(498;95),15386.51,(498;96),13951.93,(498;93),13688.37,(498;99),13181.55
148,SI266220200309225433,4,(355;386),7707.89,(354;386),7517.18,(356;386),7396.78,(355;387),7314.06,(356;387),7227.28
149,SI266220200309225433,5,(438;230),6123.52,(438;231),6029.89,(),,(),,(),
150,SI266220200309225433,6,(277;378),8149.32,(439;378),8123.06,(440;378),7922.36,(438;378),7862.54,(278;378),7830.96
151,SI266220200309225433,7,(1;95),15388.42,(1;96),14976.26,(1;94),14446.32,(1;97),14255.99,(1;98),13531.13
152,SI266220200309225433,8,(498;355),8969.60,(498;354),8874.47,(498;353),8112.05,(498;356),7949.35,(497;355),7645.67
153,SI266220200309225433,9,(104;498),9965.60,(105;498),9871.61,(106;498),9221.41,(103;498),8919.09,(107;498),8482.36
154,SI266220200309225433,10,(258;35),11300.51,(257;35),11188.52,(258;34),11121.29,(105;1),11043.16,(259;35),11030.60
155,SI266220200309225433,11,(),,(),,(),,(),,(),
156,SI266220200309225433,12,(1;355),7776.17,(1;354),7571.91,(152;385),7346.08,(151;384),7324.94,(151;385),7308.90
157,SI266220200309225433,13,(1;498),7973.88,(151;498),6539.63,(152;498),6362.65,(1;499),6177.13,(2;498),6108.69
158,SI266220200309225433,14,(1;1),9887.39,(1;2),9631.47,(1;3),8203.15,(2;1),8015.58,(0;2),7612.87
159,SI266220200309225433,15,(),,(),,(),,(),,(),
